Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.96,0.272,90.17,7,0.25,CNN,2,32,100,88.56333225,18
0.98,0.553,93.03,7,0.25,CNN,2,224,100,88.56333225,18
0.98,0.219,85.84,7,0.25,CNN,2,224,100,88.56333225,18
0.97,0.273,83.1,7,0.25,CNN,2,224,100,88.56333225,18
0.95,0.164,72.85,7,0.25,CNN,2,224,100,88.56333225,18
0.99,0.496,85.64,7,0.25,CNN,2,224,100,88.56333225,18
0.99,0.453,91.49,7,0.25,CNN,2,224,100,88.56333225,18
0.97,0.531,95.85,7,0.25,CNN,2,224,100,88.56333225,18
0.99,0.601,97.82,7,0.25,CNN,2,224,100,88.56333225,18
0.78,0.067,51.34,7,0.25,CNN,0,32,100,168.3650514,34
0.68,0.011,28.65,7,0.25,CNN,0,32,100,168.3650514,34
0.58,0.012,20.39,7,0.25,CNN,0,32,100,168.3650514,34
0.62,0.012,22.01,7,0.25,CNN,0,32,100,168.3650514,34
0.48,0.025,21.6,7,0.25,CNN,0,32,100,168.3650514,34
0.72,0.052,42.83,7,0.25,CNN,0,32,100,168.3650514,34
0.83,0.032,48.78,7,0.25,CNN,0,32,100,168.3650514,34
0.87,0.105,72.57,7,0.25,CNN,0,32,100,168.3650514,34
0.87,0.342,79.16,7,0.25,CNN,0,224,100,168.3650514,34
0.90,0.097,60.31,7,0.25,CNN,0,224,100,168.3650514,34
0.84,0.110,51.65,7,0.25,CNN,0,224,100,168.3650514,34
0.81,0.094,40.67,7,0.25,CNN,0,224,100,168.3650514,34
0.74,0.207,48.02,7,0.25,CNN,0,224,100,168.3650514,34
0.79,0.216,65.72,7,0.25,CNN,0,224,100,168.3650514,34
0.98,0.313,83.19,7,0.25,CNN,0,224,100,168.3650514,34
0.91,0.412,90.14,7,0.25,CNN,0,224,100,168.3650514,34
0.90,0.225,80.97,7,0.25,CNN,2,32,100,168.3650514,34
0.81,0.054,57.26,7,0.25,CNN,2,32,100,168.3650514,34
0.79,0.084,56.63,7,0.25,CNN,2,32,100,168.3650514,34
0.41,0.044,43.02,7,0.25,CNN,2,32,100,168.3650514,34
0.77,0.173,68.08,7,0.25,CNN,2,32,100,168.3650514,34
0.82,0.180,71.63,7,0.25,CNN,2,32,100,168.3650514,34
0.98,0.152,80.93,7,0.25,CNN,2,32,100,168.3650514,34
0.92,0.263,89.9,7,0.25,CNN,2,32,100,168.3650514,34
0.93,0.562,91.24,7,0.25,CNN,2,224,100,168.3650514,34
0.96,0.185,71.19,7,0.25,CNN,2,224,100,168.3650514,34
0.95,0.246,68.69,7,0.25,CNN,2,224,100,168.3650514,34
